Country,Year,Male,Both sexes,Female
Lesotho,2019,47.66,50.75,54.24
Central African Republic,2019,50.21,53.1,56.26
Eswatini,2019,53.36,57.73,63.18
Somalia,2019,54.01,56.47,59.22
Mozambique,2019,54.46,58.14,61.73
Kiribati,2019,56.14,59.42,62.8
Guinea-Bissau,2019,57.36,60.22,62.98
Zimbabwe,2019,57.51,60.68,63.61
Chad,2019,57.95,59.63,61.34
Botswana,2019,58.95,62.25,65.46
Guinea,2019,59.48,61.01,62.25
Zambia,2019,59.54,62.45,65.37
Sierra Leone,2019,59.6,60.77,61.9
Democratic Republic of the Congo,2019,60,62.35,64.82
Burkina Faso,2019,60.06,62.7,65.23
Cameroon,2019,60.29,62.36,64.5
Micronesia (Federated States of),2019,60.35,63.03,66.05
Côte d’Ivoire,2019,60.53,62.92,65.81
Namibia,2019,60.58,64.58,68.45
Angola,2019,60.7,63.06,65.52
South Sudan,2019,60.83,62.79,64.84
Equatorial Guinea,2019,60.87,62.19,63.58
Benin,2019,61.19,63.43,65.66
Nigeria,2019,61.2,62.62,64.1
Eritrea,2019,61.3,64.08,67.07
Togo,2019,61.52,64.27,67.23
Burundi,2019,61.55,63.84,66.14
Niger,2019,62.06,63.29,64.56
Mali,2019,62.2,62.8,63.4
South Africa,2019,62.2,65.25,68.29
Malawi,2019,62.31,65.62,68.93
Guyana,2019,62.45,65.69,69.39
Vanuatu,2019,62.66,65.31,68.32
Solomon Islands,2019,62.87,65.25,67.87
Liberia,2019,63.15,64.08,65
Afghanistan,2019,63.29,63.21,63.16
Uganda,2019,63.24,66.69,70.1
Haiti,2019,63.34,64.05,64.76
Papua New Guinea,2019,63.4,65.3,67.36
Gambia,2019,63.42,65.47,67.65
Gabon,2019,63.59,66.47,69.73
Ghana,2019,63.66,66.28,69.16
Kenya,2019,63.7,66.09,68.44
Congo,2019,63.81,64.74,65.61
Mongolia,2019,63.82,68.1,72.76
Djibouti,2019,64.1,65.81,67.78
Madagascar,2019,64.1,65.35,66.6
Yemen,2019,64.41,66.63,68.92
Pakistan,2019,64.59,65.61,66.72
United Republic of Tanzania,2019,65.37,67.34,69.26
Myanmar,2019,65.91,69.13,72.2
Comoros,2019,65.92,67.39,68.88
Fiji,2019,65.93,68.01,70.28
Lao People's Democratic Republic,2019,66.19,68.51,70.95
Turkmenistan,2019,66.48,69.75,72.97
Senegal,2019,66.82,68.58,70.14
Rwanda,2019,66.88,69.1,71.24
Ethiopia,2019,66.9,68.7,70.52
Cambodia,2019,67.23,70.12,72.75
Philippines,2019,67.4,70.43,73.6
Sudan,2019,67.55,69.15,70.76
Tajikistan,2019,67.58,69.5,71.55
Timor-Leste,2019,67.93,69.62,71.41
Ukraine,2019,68,73.02,77.81
Mauritania,2019,68.08,68.38,68.73
Russian Federation,2019,68.18,73.23,78
Suriname,2019,68.5,71.48,74.63
Azerbaijan,2019,68.78,71.43,74.09
Georgia,2019,68.79,73.28,77.76
Sao Tome and Principe,2019,68.79,70.42,71.99
Nepal,2019,68.88,70.88,72.75
Guatemala,2019,68.95,72.02,75.04
Samoa,2019,69.16,70.45,71.85
Republic of Moldova,2019,69.26,73.26,77.12
Democratic People's Republic of Korea,2019,69.29,72.63,75.69
Indonesia,2019,69.4,71.31,73.3
India,2019,69.52,70.79,72.17
Viet Nam,2019,69.56,73.74,78.11
Egypt,2019,69.59,71.82,74.14
Belarus,2019,69.65,74.81,79.62
Dominican Republic,2019,69.76,72.84,76.19
Tonga,2019,69.81,72.57,75.61
Bahamas,2019,69.85,73.21,76.59
Cabo Verde,2019,69.9,74.03,77.94
Venezuela (Bolivarian Republic of),2019,69.91,73.95,78.17
Iraq,2019,69.93,72.42,74.97
Kazakhstan,2019,69.98,73.95,77.61
Seychelles,2019,69.98,73.34,77.15
El Salvador,2019,70.58,75.03,79.13
Latvia,2019,70.58,75.38,79.84
Grenada,2019,70.63,72.88,75.33
Honduras,2019,70.67,71.94,73.16
Kyrgyzstan,2019,70.75,74.18,77.31
Uzbekistan,2019,70.76,73.01,75.21
Mauritius,2019,70.95,74.07,77.32
Bolivia (Plurinational State of),2019,71.15,72.14,73.13
Syrian Arab Republic,2019,71.18,72.67,74.26
Lithuania,2019,71.23,75.99,80.43
Saint Lucia,2019,71.3,74.33,77.71
Saint Vincent and the Grenadines,2019,71.32,73.22,75.32
Belize,2019,71.36,74.41,77.77
Bulgaria,2019,71.65,75.07,78.6
Morocco,2019,71.68,72.99,74.31
Romania,2019,71.95,75.57,79.26
Bhutan,2019,72.03,73.11,74.39
Nicaragua,2019,72.07,75.04,77.93
Brazil,2019,72.45,75.9,79.39
Armenia,2019,72.49,76.03,79.16
Trinidad and Tobago,2019,72.54,76.13,79.92
Malaysia,2019,72.61,74.72,77.08
The former Yugoslav Republic of Macedonia,2019,72.84,74.82,76.87
Oman,2019,72.97,73.9,75.26
Bangladesh,2019,72.99,74.25,75.64
Paraguay,2019,73.08,75.81,78.85
Hungary,2019,73.09,76.44,79.59
Saudi Arabia,2019,73.11,74.31,76.15
Mexico,2019,73.13,76.01,78.86
Montenegro,2019,73.15,75.88,78.65
Brunei Darussalam,2019,73.39,74.32,75.36
Serbia,2019,73.46,75.87,78.28
Uruguay,2019,73.48,77.1,80.56
Argentina,2019,73.51,76.58,79.5
